role,company,exp,salary,location,desc,req
sr. business analyst - business intelligence vertical - online/ecom,TalPro,2-4 Yrs,Not disclosed,Gurgaon,Experience with clickstream data is strongly desired B Tech/ BE /M Tech Graduate in Com...,"Business Intelligence
Senior Business Analyst
Data Mining
Data Analytics
Analytics
Business Analysis
SQL
Python"
data scientist - hadoop/mapreduce,Confidential,5-8 Yrs,Not disclosed,India,"Masters in mathematics, statistics or computer science related field PHD degree preferr...","analytics
Java
predictive modeling
Hadoop
Data Management
Big Data
statistical modeling
PhD"
business analyst - bfs,New era india,5-10 Yrs,Not disclosed,Bengaluru,BA skills ( Applicable for BAs / SME only) Good understanding of RWA (Risk weighted Ass...,"Consulting - BFSI
Risk Analytics
Data Modeling
Data Analytics
Analytics
Business Analysis"
data scientist - machine learning/artificial intelligence,The Hiring Story,4-8 Yrs,Not disclosed,Mumbai,Have 4+ years of work experience with large volumes of data preferably in e-commerce MU...,"Visualization
eCommerce
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
data scientist - python - banking domain,Huquo Consulting Pvt. Ltd,1-4 Yrs,Not disclosed,Delhi NCR,"Must have knowledge in the following areas : Data Structures - Lists, Tuples & Dictiona...","Data Scientist
Data Management
Data Mining
Spark
Data Modeling
Data Structure
Python
HBase"
hiring data scientist - pune,People Powered Solutions,3-6 Yrs,"7,00,000 - 15,00,000 PA.",Pune(Kalyani Nagar),"Experience working with large, multi-dimensional data sets to uncover meaningful insigh...","python
data science
big data analytics
predictive modeling
Data Scientist
machine learning
business intelligence
sql"
data scientist - nlp/ r/ python,The Hiring Story,2-5 Yrs,Not disclosed,Hyderabad,NLP experience is a must Proficient in R and Python Experience with unstructured text d...,"Data Science
R
NLP
NoSQL
Text Analytics
Information Retrieval
Text Mining
Data Analytics"
sr. scientist/nlp/ machine learning/ data mining professional,Career Maker,2-7 Yrs,Not disclosed,Bengaluru,"Major responsibilities: - Use statistics, NLP and machine learning techniques to create...","Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
data scientist - etl/ analytics,The Hiring Story,3-6 Yrs,Not disclosed,Mumbai,You have good understanding of statistics and machine learning concepts - You have hand...,"R
Data Scientist
ETL
Machine Learning
Analytics
Python
SQL"
lead - data scientist - banking domain - iit/nit/bits,Huquo Consulting Pvt. Ltd,4-8 Yrs,Not disclosed,Gurgaon,Job DescriptionWe are looking for a Data Scientist that will help us discover the infor...,"Data Science
Team leading
NLP
Data Scientist
Data Management
Data Mining
Data Visualization
Text Mining"
data scientist - kpo,Antrors HR Solutions,2-5 Yrs,Not disclosed,Bengaluru,Qualifications & Experience: - PG / MBA with 2 to 5 Yrs Experience with strong problem ...,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
sr. scientist/nlp/ machine learning/ data mining professional,Career Maker,2-7 Yrs,Not disclosed,Bengaluru,"Major responsibilities: - Use statistics, NLP and machine learning techniques to create...","Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
data scientist - etl/ analytics,The Hiring Story,3-6 Yrs,Not disclosed,Mumbai,You have good understanding of statistics and machine learning concepts - You have hand...,"R
Data Scientist
ETL
Machine Learning
Analytics
Python
SQL"
lead - data scientist - banking domain - iit/nit/bits,Huquo Consulting Pvt. Ltd,4-8 Yrs,Not disclosed,Gurgaon,Job DescriptionWe are looking for a Data Scientist that will help us discover the infor...,"Data Science
Team leading
NLP
Data Scientist
Data Management
Data Mining
Data Visualization
Text Mining"
data scientist - kpo,Antrors HR Solutions,2-5 Yrs,Not disclosed,Bengaluru,Qualifications & Experience: - PG / MBA with 2 to 5 Yrs Experience with strong problem ...,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
manager - data scientist/python,Huquo Consulting Pvt. Ltd,5-8 Yrs,Not disclosed,Gurgaon,"Must have : Strong logical thinking, Business problem solver Masters degree in Manageme...","Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
data scientist - consulting firm,Huquo Consulting Pvt. Ltd,4-9 Yrs,Not disclosed,Mumbai,Candidate should have excellent communication skills to interact with senior clients Sh...,"Data Science
Predictive Modeling
Data Scientist
Data Management
Analytics
Python
SQL"
data scientist - python/sas/r - analytics center of excellence,Huquo Consulting Pvt. Ltd,2-6 Yrs,Not disclosed,Mumbai,We are seeking to hire individuals as Data Scientists in our Analytics Center of Excell...,"HQL
SAS
Scala
Data Mining
Map / Reduce
Statistics
Machine Learning
SQL"
data scientist - r/ spss/ python,Serving Skill,2-6 Yrs,Not disclosed,Japan,Required Qualification : Engineering Graduates Candidate must have a valid Passport- - ...,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
data scientist,CIEL HR Services Pvt Ltd,3-5 Yrs,"25,00,000 - 27,50,000 PA.",Gurgaon,Our client is a leading distributed energy company having multiple lines of Business - ...,"Automation Tools
Data Science
R
Algorithms
Design Development
Home Automation
Data Scientist
Classification"
lead data scientist - r/python/sql,SKS Enterpprises,10-15 Yrs,Not disclosed,Pune,"Requirements: - Phd./Masters / Bachelors in Statistics, Computer Science, Economics or ...","Data Science
R
NLP
Data Scientist
Data Mining
NLU / NLG
Data Modeling
Data Analytics"
data scientist - machine learning - ecommerce,TalPro,2-6 Yrs,Not disclosed,Gurgaon,and premiere colleges Desired Competencies: - BTech/ BE /MTech Graduate in Computer Sci...,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
Python
SQL"
data scientist - machine learning/deep learning,SKS Enterpprises,6-10 Yrs,Not disclosed,Bengaluru,Candidate must from Top college or University Applicants must have a minimum 6 years of...,"Data Science
R
Data Scientist
Neural Networks
Data Mining
Data Analytics
Machine Learning
Algorithm"
lead data scientist - machine /deep learning,Confidential,5-8 Yrs,Not disclosed,Hyderabad,You should have managed a team directly at least for 2 years The Profile : - You must p...,"Data Science
R
Data Scientist
Artificial Intelligence
PySpark
Data Management
Statistical Analyst
Machine Learning"
sr. scientist/ nlp/ machine learning/ data mining professional,Career Maker,2-7 Yrs,Not disclosed,Bengaluru,"Major responsibilities: - Use statistics, NLP and machine learning techniques to create...","Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
"data scientist - thane , mumbai",Empower Recruitments,1-4 Yrs,"3,25,000 - 4,00,000 PA.","Navi Mumbai, Mumbai",Required Candidate profile,"Unica Campaign
R
Data Management
Machine Learning
MATLAB
Python"
con - big data analytics + data scientist,Pylon Management Consulting Pvt Ltd,2-4 Yrs,Not disclosed,Mumbai,Required to meet tight deadlines and manage multiple competing prioritiesas required by...,"Data Science
Pyspark
Hive
Big Data Analytics
R
Artificial Intelligence
Hadoop
big data technologies"
business analyst - analytics - financial service - iit/bits/iim,The Hiring Story,1-5 Yrs,Not disclosed,Mumbai,Roles and ResponsibilitiesResponsibilities:-- Work with the team in cofounders' office ...,"Tableau
Data Analytics
Analytics
SQL"
sr. business analyst - model validation,Huquo Consulting Pvt. Ltd,3-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",- 3-5 years of total experience of Data Analytics / Data Insights Generation - Proven e...,"Excel
SAS
VBA
Data Analytics
Statistics
Analytics"
sr. business analyst - banking/ retail analytics - consulting firm,Huquo Consulting Pvt. Ltd,3-6 Yrs,Not disclosed,"Delhi NCR, Gurgaon",- 2-6 years of total experience of Data Analytics / Data Insights Generation - Proven e...,"Consulting - BFSI
SAS
Retail Analytics
Data Analytics
Analytics
Consulting - Retail"
business analyst - banking/retail analytics,Huquo Consulting Pvt. Ltd,1-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",1. 1-5 years of total experience of Data Analytics / Data Insights Generation 2. Proven...,"SAS
Retail Analytics
Business Analyst
Data Insights Generation
Data Analytics
Statistics
Analytics"
mis executive,Acro Paints Ltd.,3-8 Yrs,Not disclosed,Delhi NCR(Kirti Nagar Industrial Area),"Graduates with Minimum experience of 3-5 yearsMaintenance to existing MIS, improve syst...","Management Reporting
Strategic Thinking
SOP
Analytical Skills
MIS Operations
Advanced Excel
Troubleshooting
Data Analytics"
sr. mis executive / inventory manager / erp / sap - delhi ncr,CLEARDEKHO EYEWEAR PRIVATE LIMITED,2-4 Yrs,"2,50,000 - more than 3,00,000 PA.",Ghaziabad(Vasundhara),Graduation / Post-Graduation Minimum of 2 years of MIS Executive experienceHands-On Exp...,"ERP
SAP
Tally ERP
Stock Management
Data Management
Vendor Management
Management
Data Entry"
sr. data engineer,World Wide Technology,5-10 Yrs,Not disclosed,Gurgaon,Hands-on work experience showing growth as a Senior Data EngineerGood knowledge of repo...,"Hadoop
Data Visualization
Data Modeling
ETL
Python"
lead decision scientist,ExecBoardinAsia,5-10 Yrs,Not disclosed,Bengaluru,Scope of Responsibility: Works independently and proficiently. Accountable for own resu...,"Data analysis
Strategic partnerships
Financial risk
Customer experience
Subject Matter Expert
Management
Risk management
Forecasting"
sr. technical manager,Metro Global Business Services Pvt. Ltd.,9-14 Yrs,Not disclosed,Pune,"Good knowledge of R, Python, Julia or MATLAB expertise in any functional or mathematica...","Data Analyst
Tableau
Data manager
Data Lead
MATLAB
Julia
data architect
Data Scientist"
data scientist,Humanequ Management services,10-12 Yrs,Not disclosed,Mumbai,Domain Knowledge: (Should have functional knowledge and ML model development experience...,"Ubuntu
Productive Maintenance
PostgreSQL
Thingworx
Big data/IOT
ETL
Tableau / Qlikview / RShiny/ Plotly/ Dash"
data scientist,acmeture Global Consulting Services,5-10 Yrs,Not disclosed,Hyderabad,"Experience using web services: Redshift, S3, Spark, DigitalOcean, etcExperience creatin...","Data Analysis
Machine Learning
Social Network Analysis
Data Science
R
Artificial Neural Networks
Data Mining
Text Mining"
sr. data engineer,Innova Solutions Private Limited,7-11 Yrs,Not disclosed,Chennai,Must have a strong command of common scripting languagesNote : we are Preferably lookin...,"Scala
Spark
AWS-EMR"
sr. data scientist,WalletHub,10-20 Yrs,"30,00,000 - 45,00,000 PA.",Anywhere in India,Senior Data Scientist (Remote / Work from Home) minimum 5 years of experience as a Data...,"Data Science
Artificial Intelligence
Machine Learning
Python"
sr. data engineer,ServiceNow,7-10 Yrs,Not disclosed,Hyderabad,What you get to do in this role: We are looking for a Rock Star with a winning track re...,"Computer science
Data modeling
Consulting
Javascript
PLSQL
Data quality
data integrity
Business intelligence"
data engineer,TouchNote,1-4 Yrs,Not disclosed,Hyderabad,The Role: We are looking for a savvy Data Engineer to join our growing data and analyti...,"Computer science
metadata
Performance management
Postgresql
MySQL
Database administration
PHP
Data structures"
advanced analytics cons 4,Wells Fargo India Solutions Pvt. Ltd.,4-8 Yrs,Not disclosed,Bengaluru,About the Role Analytic Consultant/Data Scientist is a partner-facing role and is respo...,"SAN
Data analysis
Automation
data science
Analytical
Machine learning
Predictive modeling
commercial finance"
spinny - lead data scientist - gurgaon/ work from home,Spinny - VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,5-10 Yrs,"35,00,000 - 55,00,000 PA.",Delhi NCR,Requirements:Takes full ownership of the problemTeam player who can guide/support other...,"work from home
Data Science
Predictive Modeling
R
Pattern Recognition
Logistic Regression
NLP
Demand Forecasting"
domain leader - data & analytics,TVS Credit Services Limited,8-13 Yrs,Not disclosed,Chennai(Nungambakkam),Job Purpose The purpose of this role is to bring in the culture of Data aggregation and...,"Predictive Modeling
Algorithms
Data Scientist
Risk Analytics
Statistical Modeling
Retail credit underwriting
Data Visualization
Data Modeling"
sr. data scientist,Visible Alpha Solutions India Pvt. Ltd.,5-7 Yrs,Not disclosed,Mumbai,"Experience in platform development, distributed computingMinimum 3 years of work experi...","Java
R
NLP
Algorithms
Linux
Web Technologies
Programming
Information Retrieval"
data scientist – machine learning and predictive sciences,AT&T Communication Services India Private Limited,9-14 Yrs,Not disclosed,Bengaluru,Overall minimum experience of 9 years and aboveMinimum Relevant Experience of 3 years a...,"Predictive Modeling
SAS Macros
Multivariate Analysis
Natural Language Processing
Machine Learning
SAS STAT
Base SAS
Data Science"
data engineer,Ralph Lauren,5-10 Yrs,Not disclosed,Bengaluru,This role will require both creative and collaborative working with IT and the wider bu...,"Microstrategy
Automation
Agile
Data structures
Apache
Open source
Information technology
Analytics"
principal machine learning engineer,TVS MOTOR COMPANY LTD,4-9 Yrs,Not disclosed,Bengaluru,Organization & Role1) TVS D&A Team: TVS Motor Company is the third largest 2-wheeler co...,Machine Learning
lead / sr. lead consultant - business consulting - nexdigm,Nexdigm Private Limited,7-10 Yrs,Not disclosed,"Pune(Baner Pashan Link Road), Gurgaon(Cyber City)","Understand client requirements, address business challenges, structure requirement into...","Engagement Management
Data Science
Communication Skills
decision science
Business Consulting
Business Analytics
Advanced Analytics
Data Analysis"
data scientist/ academic counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,2-7 Yrs,Not disclosed,"Chennai, Bengaluru",Graduate with an exceptional academic track recordTravel to other cities if required to...,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
data engineer,Ralph Lauren,5-10 Yrs,Not disclosed,Bengaluru,This role will require both creative and collaborative working with IT and the wider bu...,"Microstrategy
Automation
Agile
Data structures
Apache
Open source
Information technology
Analytics"
principal machine learning engineer,TVS MOTOR COMPANY LTD,4-9 Yrs,Not disclosed,Bengaluru,Organization & Role1) TVS D&A Team: TVS Motor Company is the third largest 2-wheeler co...,Machine Learning
lead / sr. lead consultant - business consulting - nexdigm,Nexdigm Private Limited,7-10 Yrs,Not disclosed,"Pune(Baner Pashan Link Road), Gurgaon(Cyber City)","Understand client requirements, address business challenges, structure requirement into...","Engagement Management
Data Science
Communication Skills
decision science
Business Consulting
Business Analytics
Advanced Analytics
Data Analysis"
data scientist/ academic counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,2-7 Yrs,Not disclosed,"Chennai, Bengaluru",Graduate with an exceptional academic track recordTravel to other cities if required to...,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
data scientist  /artificial intelligence,GrayRipples.com,1-6 Yrs,Not disclosed,"Bengaluru, Hyderabad",Programming experience (in any programming language) is a must3+ year experience workin...,"Artificial Intelligence
Machine Learning"
data scientist | integreon managed solutions | mumbai,INTEGREON MANAGED SOLUTIONS INDIA PVT LIMITED,2-7 Yrs,Not disclosed,Mumbai,"Job Description: Data Scientist Who we are: Integreon is a trusted, global provider of ...","analytics
python
tableau
regression
predictive modeling
data scientist
statistical modeling
market analysis"
tomtom is hiring for sr. data scientist,TomTom India Private Limited,8-12 Yrs,Not disclosed,Pune,"Bachelors / Masters/PHD in Computer science, Mathematics, Statistics or equivalent fiel...","Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
junior data scientist - deep & machine learning,i3systems Pvt Ltd,1-3 Yrs,Not disclosed,Mumbai,It is driven by a technically strong team from IIT and backed by Insurance expertsRequi...,"NLP
Data Pipeline
Data Scientist
MySQL
Neural Networks
Statistical Analyst
Data Modeling
Machine Learning"
data science engineer - r/python,Techstar Software Development India Pvt. Ltd.,3-6 Yrs,Not disclosed,Bengaluru,Who can join Immediate - 20 days is only preferred,"Data Science
Data Ingestion
Tensorflow
R
Data Scientist
PySpark
Statistical Modeling
Machine Learning"
data scientist,LatentView Analytics Private Limited,3-5 Yrs,Not disclosed,Chennai,"on R / SAS is preferred3+ years- experience in a related position, as a data scientist ...","Predictive Modeling
R
Statistical Modeling
Machine Learning
SQL
Python"
data visualization designer,Ralph Lauren,4-9 Yrs,Not disclosed,Bengaluru,"The Data Visualization Designer is an emerging role in Ralph Lauren s Analytics team, a...","Hospitality
Data analysis
Automation
Data management
MIS
Analytical
Customer service
Business intelligence"
member of technical staff - mts,Athenahealth India,1-5 Yrs,Not disclosed,Bengaluru,"As a Data Scientist, you will apply advanced machine learning technology to athena's on...","Computer science
C++
Data analysis
Coding
Machine learning
Healthcare
Perl
Analytics"
principal data scientist,CornerstoneOnDemand,10-20 Yrs,"25,00,000 - 40,00,000 PA.",Bengaluru,Must have experience in: Experience in following is a plus:,"Pytorch
Natural Language Processing"
lead data scientist - machine learning/ algorithm,Meru Mobility Tech Pvt Ltd,5-10 Yrs,Not disclosed,Mumbai,Experience creating and using advanced machine learning algorithms and statistics: regr...,"Data Science
R
Hive
NLP
Data Scientist
Tableau
Regression Modeling
Machine Learning"
"principal, applied math & stats",AT and T Global Business Services India P. Ltd.,3-6 Yrs,Not disclosed,Bengaluru,Overall Purpose Experienced data scientist position that uses highly advanced skills in...,"Business process
Data analysis
Networking
Data management
Process improvement
Analytical
Data mining
Risk management"
traffic microsimulation engineer,ICAV Tech Pvt. Ltd.,3-8 Yrs,Not disclosed,India,ICAV Tech https://icavtech.com/ is a BPO (Business Process Outsourcing) company with a ...,"Microsimulation
Artificial Intelligence
SUMO Simulation
C++
Algorithms
C
Software Engineering
Data Analysis"
urgently looking for software developer - nlp/ machine learning/ ai,Zibal Technologies Pvt Ltd,2-6 Yrs,Not disclosed,Noida,"Should be Proficient in python libraries i.e pandas, numpy, scipy, stats, Sklearn Shoul...","IT Skills
Python
Machine Learning
rest api
Artificial Intelligence
Text Analytics
python developer
Machine Learning"
research analyst required in poland,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Canada, Poland","Call to Deepika- 8448366479 Responsible for researching, analyzing, interpreting and pr...","Business Analyst
Market Research Executive
data research
research analysis
research analyst
Data Analyst
Market Research Manager
market research analyst"
mis executive,VGM Consultants (P) Ltd,3-6 Yrs,Not disclosed,Kolkata,Shift & Net login Hours Adherence reportShould be from BPO backgroundGood understanding...,"Management Reporting
Data analysis
advance excel
MIS Reporting
dashboards"
sr. data science engineer - machine learning/ python,PayMe India,4-9 Yrs,Not disclosed,Noida,Position : Data Science Developer Exp-5 to 8 Yr. JD : We are looking for a data scienti...,"Predictive Modeling
Data Science
Data Scientist
Data Management
Data Mining
Data Analytics
Machine Learning
Deep Learning"
sr. data scientist,WM,5-7 Yrs,Not disclosed,Gurgaon Gurugram,Roles and ResponsibilitiesManipulating data sets and building analytical models.Coding ...,"Pytorch
CNN
RNN
User Network
Pattern Recog
Video Processing
Image Processing
Tensor Flow"
"manager , data science",Onet,10-12 Yrs,Not disclosed,Bengaluru,Job Description The PeopleCloud Customer team is looking for a talented team player in ...,"Data Science
Data Scientist
Hadoop
Big Data
Statistical Modeling
Neural Networks
Data Mining
Machine Learning"
sr. software engineer,Eurofins It Solutions India Pvt Ltd,5-7 Yrs,Not disclosed,Bengaluru,"Job description: Create and maintain optimal data pipeline architecture Assemble large,...","IT Skills
Python
Cloud
Big Data
AWS
Tableau
Power BI
Azure"
data analyst,Telstra ICC @Bangalore,5-7 Yrs,Not disclosed,"Bengaluru, Bangalore","Telstra is Australia's leading telecommunications and technology company, with operatio...",Data Analyst
apps systems engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,Hyderabad,Responsibilities: Lead technological and business analysis activities where Agile or Wa...,"Performance tuning
ERP
Linux
Cognos
MySQL
Datastage
Agile
Workflow"
mts iii cslt sys engrg,Verizon Data Services India Pvt.Ltd,7-10 Yrs,Not disclosed,Chennai,What you ll be doing : This position requires a background in understanding and measuri...,"IT Skills
Java
Python
Quality Assurance
Program Management
Data analysis
Operations research
Business transformation"
"staff engineer, microbiology",SGTC India,8-13 Yrs,Not disclosed,Gurgaon,Receive alerts with new job opportunities that match your interests Receive relevant co...,"Data analysis
Assurance
ISO 13485
Surgical
Microbiology
Manufacturing process
Pharma
Analytical"
tech lead,Larsen & Toubro Infotech Limited,3-5 Yrs,Not disclosed,india,Responsibilities: Determine and apply the right analysis method for a given business pr...,"IT Skills
Data Science
Machine Learning
Computer science
Data analysis
Machine learning
Programming
Mining engineering"
lymbyc-implementation lead,Larsen & Toubro Infotech Limited,8-13 Yrs,Not disclosed,india,1) Understanding of Datasets / Business understanding of KPIs - How metrices impact bus...,"IT Skills
Project Management
BPO
project management
Data analysis
Excel
SQL database
Project management"
incident manager,IG Infotech (India) Pvt. Ltd.,4-7 Yrs,Not disclosed,Bengaluru,Job Description IG s Incident Management team is responsible for ensuring Incidents adv...,"Service management
Analytical skills
Root cause analysis
Data analysis
financial products
Finance
Incident management
ITIL"
incident manager,IG Group,4-8 Yrs,Not disclosed,Bengaluru,Job Description IG s Incident Management team is responsible for ensuring Incidents adv...,"Service management
Analytical skills
Root cause analysis
Data analysis
financial products
Finance
Incident management
ITIL"
"sr specialist , quads",Gartner India Research & Advisory Services Pvt Ltd,3-5 Yrs,Not disclosed,Gurgaon,"What you will do: Tell stories with data through expert analysis, interpretation, and d...","IT Skills
Python
Data Science
Tableau
Power BI
Data Science
Diversity And Inclusion
Consulting"
sr. executive / assistant manager - procurement,SunShell Power private limited,3-5 Yrs,Not disclosed,"Gurgaon, Kolkata",Job Description: Liaises with key company employees to determine their product and serv...,"Procurement Head
Supply chain management
ERP
Data analysis
Networking
Financial analysis
Project management
Strategic planning"
civil construction engineer,Brunel India Pvt Ltd,5-8 Yrs,Not disclosed,"Farakka,West Bengal","We re hiring Civil Construction Engineer, for a leading MNC, delivering global standard...","Mining
Data analysis
Construction
HTML
Life sciences
Engineering Design
ICT
Civil engineering"
"sr. consultant, ediscovery","FTI Consulting, Inc.",3-8 Yrs,Not disclosed,Ahmedabad,"About the Role This job may involve working in areas such as Investigations, Informatio...","Data analysis
Excel
Linux
Data management
Project management
Consulting
Data collection
Workflow"
inside sales / telecaller,3m Digital,0-1 Yrs,Not disclosed,Bengaluru,Qualification : Any Graduate Experience : 0 to 1 years (Preferably in Messaging Industr...,"Cold calling
Outbound
Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Information"
software intern,Extern Labs Pvt. Ltd.,0-1 Yrs,Not disclosed,Jaipur,Roles andResponsibilities: Assess new application ideas. Work on assignments given by a...,"C++
Data analysis
Coding
Postgresql
Machine learning
Javascript
Data structures
SQL"
software trainee,Extern Labs Pvt. Ltd.,0-1 Yrs,Not disclosed,Jaipur,Roles and Responsibilities: Assess new application ideas. Work on assignments given by ...,"C++
Data analysis
Coding
Postgresql
Machine learning
Javascript
Data structures
SQL"
vp- support services program-mvp,Iron Systems India Pvt. Ltd,15-18 Yrs,Not disclosed,Noida,"Global Leader in Turnkey, Integration, Supply Chain, Field Deployment & Support Service...","Procurement
Supply chain
Data analysis
Change management
Staffing
Contract management
Process improvement
Support services"
oracle enterprise planning and budgeting,BISP Solutions Inc.,2-4 Yrs,Not disclosed,Bhopal,"Experience on Installation, Configuration of various Hyperion components. Experience wi...","Performance tuning
Application support
Data analysis
Reconciliation
Budgeting
Oracle
Troubleshooting
SSL"
software trainee,Extern Labs Pvt. Ltd.,0-1 Yrs,Not disclosed,Jaipur,Roles and Responsibilities: Assess new application ideas. Work on assignments given by ...,"C++
Data analysis
Coding
Postgresql
Machine learning
Javascript
Data structures
SQL"
vp- support services program-mvp,Iron Systems India Pvt. Ltd,15-18 Yrs,Not disclosed,Noida,"Global Leader in Turnkey, Integration, Supply Chain, Field Deployment & Support Service...","Procurement
Supply chain
Data analysis
Change management
Staffing
Contract management
Process improvement
Support services"
oracle enterprise planning and budgeting,BISP Solutions Inc.,2-4 Yrs,Not disclosed,Bhopal,"Experience on Installation, Configuration of various Hyperion components. Experience wi...","Performance tuning
Application support
Data analysis
Reconciliation
Budgeting
Oracle
Troubleshooting
SSL"
hyperion functional consultant,BISP Solutions Inc.,5-10 Yrs,Not disclosed,Bhopal,"Job Description: The Hyperion Functional Administrator, as a part of the BISP Solutions...","Data analysis
PDF
Financial reporting
Hyperion
Finance
Reconciliation
Cloud
Budgeting"
hyperion essbase and planning application developer,BISP Solutions Inc.,4-9 Yrs,Not disclosed,Bhopal,Job Description: The Hyperion Essbase and Planning Application Developer will be respon...,"Data analysis
Test scripts
Performance management
Reconciliation
Budgeting
Oracle
Business intelligence
Troubleshooting"
consulting - sr.manager,StateStreet Global Advisor Pvt Ltd,8-12 Yrs,Not disclosed,Bengaluru,What you will be responsible for: As Officer you will: Manage high-level analysis to de...,"Data analysis
US GAAP
Consulting
Workflow
Asset management
IFRS
Macros
Financial services"
avp transformation,StateStreet Global Advisor Pvt Ltd,6-9 Yrs,Not disclosed,Bengaluru,Role Purpose The Transformation Manager will lead the optimization of corporate process...,"Process automation
Root cause analysis
Data analysis
Process optimization
Data modeling
Project management
Process improvement
Corporate"
sales manager,ExecBoardinAsia,5-10 Yrs,Not disclosed,Mumbai,Design and implement a strategic business plan that maintains and grows the company s c...,"Campaign planning
Data analysis
Business planning
Sales process
Management
Monitoring
CRM"
data engineer,ExecBoardinAsia,5-10 Yrs,Not disclosed,Bengaluru,"They are looking for an open minded, structured thinker who is passionate about buildin...","Backend
data domain
Business reporting
Coding
Analytical
Product analysis
business rules
Customer support"
"analyst, provider data management",Valence Health,1-3 Yrs,Not disclosed,Pune,Serves as a liaison between Third-Party Administrator (TPA)/Business Process Outsourcin...,"IT Skills
Python
Tableau
Power BI
BPO
Data analysis
Claims
Visual Basic"
"process improvement, srassc",StateStreet Global Advisor Pvt Ltd,2-4 Yrs,Not disclosed,Bengaluru,Role Purpose The Transformation associateManager will lead the optimization of corporat...,"Process automation
Data analysis
Process optimization
Process consulting
Data modeling
Project management
Process improvement
Corporate"
officer transformation,StateStreet Global Advisor Pvt Ltd,1-4 Yrs,Not disclosed,Bengaluru,"Transformation Manager, Corporate Shared Services Role Purpose The Transformation Manag...","Process automation
Root cause analysis
Data analysis
Process optimization
Data modeling
Project management
Process improvement
Corporate"
officer transformation,StateStreet Global Advisor Pvt Ltd,1-4 Yrs,Not disclosed,Bengaluru,Role Purpose The Transformation Manager will lead the optimization of corporate process...,"Process automation
Root cause analysis
Data analysis
Process optimization
Data modeling
Project management
Process improvement
Corporate"
devops tools engineer,Ameriprise Financial,1-5 Yrs,Not disclosed,"Gurgaon, haryana",Responsibilities POSTING DESCRIPTION RESPONSIBILITIES: As an operations analyst at Amer...,"Service management
Data analysis
MIS
Analytical
Financial planning
Data collection
Incident management
Asset management"
hr & communications executive,Lifelab,1-4 Yrs,Not disclosed,Pune,"Job Description The HR & Communications Executive manages the company s recruitment, em...","Payroll
Data analysis
Performance management
Conflict management
Social media
Employee engagement
HR policies
HTTP"
finance manager,Lifelab,2-3 Yrs,Not disclosed,Pune,Position Summary Finance Manager is responsible for managing end to end financial contr...,"Payroll
Data analysis
Team management
Financial analysis
Financial planning
Cash flow
Risk management
Operations"
hiring for bi specialist  in hong kong,Trangile Services Pvt Ltd,4-9 Yrs,Not disclosed,"Hong Kong, Noida","Compose documentation for the BI solutions developed, including the architecture (both ...","IT Skills
Testing
Tableau
Data Dictionary
Exploratory Data Analysis
Use Cases
Power Bi
Automation Testing"
junior data analyst,Varite India Pvt. Ltd.,3-4 Yrs,Not disclosed,Bengaluru,Flexible to work in shiftsgood exposure in SFDC tools- MandatoryGood exposure in Advanc...,"Advance Excel
VBA
SFDC
sql query
Macros"
seo executive with optra,Optra Technologies Private Limited,1-2 Yrs,Not disclosed,Pune,Collaborate with designers to improve user experience,"Google AdWords
Digital Marketing
SEO
Google Analytics
Content Marketing
Online Marketing
Webtrends
Twitter"
full stack lead developer,Brand Realty Services,0-5 Yrs,"6,00,000 - 15,00,000 PA.",Delhi NCR,Should have experience using server-side logic and work well in a teamPreferred - cloud...,"Java
Terraform
Cloud Services
Javascript
Rest Api
Python"
data scientist,redBus.in(IBIBO GROUP PRIVATE LIMITED),3-6 Yrs,Not disclosed,Bengaluru,BASIC PURPOSE OF THE POSITIONTo be an independent data scientist and senior resource ca...,"Java
Statistics
Machine Learning
Python"
